source,airline,flight_code,departure,arrival,duration,stops,price,timestamp
Cleartrip,Air India,AI-1741,10:40,15:40,,1 stop,16400,2025-12-28T23:51:15.205328
Cleartrip,Air India Express,IX-1040,22:45,07:55,9h 10m,1 stop,16561,2025-12-28T23:51:15.270463
Cleartrip,IndiGo,6E-6605,10:20,15:25,5h 5m,1 stop,16611,2025-12-28T23:51:15.331472
Cleartrip,IndiGo,6E-2262,05:40,11:55,6h 15m,1 stop,16710,2025-12-28T23:51:15.394896
Cleartrip,Air India Express,IX-1057,05:40,12:30,6h 50m,1 stop,16927,2025-12-28T23:51:15.511859
Cleartrip,Air India Express,IX-1064,17:25,23:25,,1 stop,16927,2025-12-28T23:51:15.451246
Cleartrip,IndiGo,6E-2145,16:30,22:05,5h 35m,1 stop,17044,2025-12-28T23:51:15.564624
Cleartrip,Air India,AI-2592,14:25,19:10,4h 45m,1 stop,17061,2025-12-28T23:51:15.623517
Cleartrip,Air India,AI-1777,16:00,22:15,6h 15m,1 stop,17087,2025-12-28T23:51:15.683389
Cleartrip,IndiGo,6E-6824,11:10,16:30,5h 20m,1 stop,17635,2025-12-28T23:51:15.745214
Cleartrip,Air India,AI-2995,10:00,17:20,7h 20m,1 stop,18000,2025-12-28T23:51:15.803843
Cleartrip,Air India Express,IX-1048,11:40,18:00,6h 20m,1 stop,18071,2025-12-28T23:51:15.863606
Cleartrip,Air India Express,IX-1048,11:40,19:20,7h 40m,1 stop,18071,2025-12-28T23:51:15.923635
Cleartrip,Air India,AI-1771,08:10,13:00,4h 50m,1 stop,18186,2025-12-28T23:51:15.981133
Cleartrip,Air India,AI-1747,07:05,12:30,5h 25m,1 stop,18489,2025-12-28T23:51:16.040991
Cleartrip,Air India,AI-2955,18:00,01:20,7h 20m,1 stop,18490,2025-12-28T23:51:16.098356
Cleartrip,Air India,AI-9461,15:00,20:30,5h 30m,1 stop,19115,2025-12-28T23:51:16.158526
Cleartrip,Air India,AI-9486,08:05,13:50,5h 45m,1 stop,19211,2025-12-28T23:51:16.214959
Cleartrip,IndiGo,6E-6711,15:00,21:15,6h 15m,1 stop,20607,2025-12-28T23:51:16.274240
Cleartrip,Air India,AI-2975,06:25,13:50,7h 25m,1 stop,20868,2025-12-28T23:51:16.399197
Cleartrip,Air India,AI-2429,07:05,13:50,6h 45m,1 stop,20868,2025-12-28T23:51:16.336687
Cleartrip,Air India,AI-1735,13:05,20:10,7h 5m,1 stop,20877,2025-12-28T23:51:16.459509
Cleartrip,Air India,AI-1763,10:25,16:50,6h 25m,1 stop,21281,2025-12-28T23:51:16.515238
Cleartrip,IndiGo,6E-2033,07:10,13:00,5h 50m,1 stop,21443,2025-12-28T23:51:16.582390
Cleartrip,Air India Express,IX-1076,11:40,18:10,6h 30m,1 stop,22427,2025-12-28T23:51:16.656488
Cleartrip,Air India Express,IX-1032,09:00,16:10,7h 10m,1 stop,22553,2025-12-28T23:51:16.720698
Cleartrip,Air India Express,IX-1035,10:15,19:00,8h 45m,1 stop,22553,2025-12-28T23:51:16.776026
Cleartrip,Air India,AI-2883,05:55,12:00,6h 5m,1 stop,23543,2025-12-28T23:51:16.835381
Cleartrip,IndiGo,6E-6843,15:10,20:35,5h 25m,1 stop,23856,2025-12-28T23:51:16.895852
Cleartrip,Air India,AI-2767,13:00,19:30,6h 30m,1 stop,27440,2025-12-28T23:51:16.956079
Cleartrip,Air India,AI-2943,07:30,13:50,6h 20m,1 stop,28738,2025-12-28T23:51:17.075931
Cleartrip,Air India,AI-2678,08:30,13:50,5h 20m,1 stop,28738,2025-12-28T23:51:17.015425
Cleartrip,Air India Express,IX-1538,04:55,12:15,7h 20m,1 stop,30642,2025-12-28T23:51:17.143569
