source,airline,flight_code,departure,arrival,duration,stops,price,timestamp
Cleartrip,IndiGo,6E-6740,10:05,16:15,6h 10m,1 stop,8555,2025-12-28T23:51:07.224171
Cleartrip,IndiGo,6E-6018,19:10,01:25,6h 15m,1 stop,8555,2025-12-28T23:51:07.283284
Cleartrip,Air India Express,IX-1242,15:00,22:15,7h 15m,2 stops,8557,2025-12-28T23:51:07.347587
Cleartrip,Air India,AI-2449,22:00,07:55,9h 55m,1 stop,8603,2025-12-28T23:51:07.407449
Cleartrip,Air India,AI-2485,10:30,13:20,2h 50m,Non-stop,8969,2025-12-28T23:51:07.465049
Cleartrip,Air India,AI-2819,15:00,17:55,2h 55m,Non-stop,8969,2025-12-28T23:51:07.523227
Cleartrip,Air India,AI-544,16:10,23:45,7h 35m,1 stop,8970,2025-12-28T23:51:07.585683
Cleartrip,IndiGo,6E-2157,09:00,14:35,5h 35m,1 stop,9261,2025-12-28T23:51:07.646975
Cleartrip,IndiGo,6E-6814,07:05,13:05,,1 stop,9261,2025-12-28T23:51:07.707979
Cleartrip,IndiGo,6E-5234,17:00,21:45,4h 45m,1 stop,9350,2025-12-28T23:51:07.766810
Cleartrip,IndiGo,6E-6857,13:30,18:40,5h 10m,1 stop,9350,2025-12-28T23:51:07.825353
Cleartrip,IndiGo,6E-850,18:30,23:35,5h 5m,1 stop,9402,2025-12-28T23:51:07.881266
Cleartrip,IndiGo,6E-864,17:00,22:40,5h 40m,1 stop,9471,2025-12-28T23:51:07.940956
Cleartrip,Air India,AI-2879,18:00,23:45,5h 45m,1 stop,9623,2025-12-28T23:51:07.999051
Cleartrip,Air India,AI-465,16:20,23:10,6h 50m,1 stop,9623,2025-12-28T23:51:08.065985
Cleartrip,SpiceJet,SG-105,20:30,03:40,7h 10m,1 stop,9763,2025-12-28T23:51:08.128977
Cleartrip,SpiceJet,SG-685,14:55,03:40,12h 45m,1 stop,9763,2025-12-28T23:51:08.185793
Cleartrip,SpiceJet,SG-385,06:30,20:35,14h 5m,1 stop,9763,2025-12-28T23:51:08.245862
Cleartrip,IndiGo,6E-6787,00:30,06:30,,1 stop,9786,2025-12-28T23:51:08.310014
Cleartrip,IndiGo,6E-983,11:45,18:40,6h 55m,1 stop,9809,2025-12-28T23:51:08.365956
Cleartrip,IndiGo,6E-983,11:45,20:00,8h 15m,1 stop,9809,2025-12-28T23:51:08.426746
Cleartrip,IndiGo,6E-983,11:45,21:25,9h 40m,1 stop,9809,2025-12-28T23:51:08.484005
Cleartrip,IndiGo,6E-983,11:45,22:40,10h 55m,1 stop,9809,2025-12-28T23:51:08.545870
Cleartrip,IndiGo,6E-6839,17:40,23:45,6h 5m,1 stop,9906,2025-12-28T23:51:08.609467
Cleartrip,Air India,AI-2985,19:40,01:20,5h 40m,1 stop,9912,2025-12-28T23:51:08.668864
Cleartrip,Air India,AI-2977,19:00,01:20,6h 20m,1 stop,9912,2025-12-28T23:51:08.727916
Cleartrip,Air India,AI-2577,02:00,07:55,5h 55m,1 stop,9955,2025-12-28T23:51:08.786543
Cleartrip,Air India,AI-2577,02:00,10:00,,1 stop,9955,2025-12-28T23:51:08.849504
Cleartrip,Akasa Air,QP-1335,14:50,17:35,2h 45m,Non-stop,10000,2025-12-28T23:51:08.910647
Cleartrip,Air India,AI-2465,14:30,23:45,9h 15m,1 stop,10041,2025-12-28T23:51:08.972528
Cleartrip,IndiGo,6E-6641,17:15,22:50,5h 35m,1 stop,10089,2025-12-28T23:51:09.030283
Cleartrip,Air India,AI-2933,15:30,22:15,6h 45m,1 stop,10162,2025-12-28T23:51:09.091898
Cleartrip,Air India,AI-2439,23:00,07:40,8h 40m,1 stop,10162,2025-12-28T23:51:09.149998
Cleartrip,Air India,AI-2437,22:30,07:40,9h 10m,1 stop,10162,2025-12-28T23:51:09.210109
Cleartrip,Air India,AI-2439,23:00,08:15,9h 15m,1 stop,10162,2025-12-28T23:51:09.268253
Cleartrip,Air India,AI-2999,22:00,07:40,9h 40m,1 stop,10162,2025-12-28T23:51:09.327278
